institution,elective,overview,title,summary,content,ilo
Edinburgh_Scotland,cxinfr11220,"<h2>Edinburgh_Scotland cxinfr11220</h2><h2>title</h2>Postgraduate Course: Computer Graphics (Level 11) (INFR11021)<h2>summary</h2>This introductory course in computer graphics comprises of three parts. The first part of the course presents a bird's-eye view of the current state-of-the-art in the field. The latter two parts cover rendering, which is one of the core topics in computer graphics, in detail. The second part of the course teaches central concepts in rendering, along with the relevant mathematics. Finally, the third part of the course focusses on applications of the theory taught in the second part.<h2>content</h2>
    
    SYLLABUS<br>
<br>
Part I<br>
* Introduction [1]<br>
* Radiometry and photometry [1]<br>
* Modelling [1]<br>
* Special effects I: relighting [1]<br>
* Special effects II: compositing [1]<br>
<br>
Part II<br>
* Raytracing [1]<br>
* The rendering equation [2]<br>
* Monte Carlo path tracing [2]<br>
* Sampling [2]<br>
* Camera effects [1]<br>
<br>
Part III<br>
* Participating media [1]<br>
* Acceleration structures [1] <br>
* MCMC methods for light transport [1]<br>
* Gradient domain path tracing [1]<br>
* Overview of current research [1/2]<br>
* Discussion of open problems in rendering [1/2]<br>
* Conclusion [1]
    
    
",Postgraduate Course: Computer Graphics (Level 11) (INFR11021),"This introductory course in computer graphics comprises of three parts. The first part of the course presents a bird's-eye view of the current state-of-the-art in the field. The latter two parts cover rendering, which is one of the core topics in computer graphics, in detail. The second part of the course teaches central concepts in rendering, along with the relevant mathematics. Finally, the third part of the course focusses on applications of the theory taught in the second part.","
    
    SYLLABUS<br>
<br>
Part I<br>
* Introduction [1]<br>
* Radiometry and photometry [1]<br>
* Modelling [1]<br>
* Special effects I: relighting [1]<br>
* Special effects II: compositing [1]<br>
<br>
Part II<br>
* Raytracing [1]<br>
* The rendering equation [2]<br>
* Monte Carlo path tracing [2]<br>
* Sampling [2]<br>
* Camera effects [1]<br>
<br>
Part III<br>
* Participating media [1]<br>
* Acceleration structures [1] <br>
* MCMC methods for light transport [1]<br>
* Gradient domain path tracing [1]<br>
* Overview of current research [1/2]<br>
* Discussion of open problems in rendering [1/2]<br>
* Conclusion [1]
    
    
",
Edinburgh_Scotland,cxinfr11221,"<h2>Edinburgh_Scotland cxinfr11221</h2><h2>title</h2>Undergraduate Course: Introduction to Modern Cryptography (INFR11131)<h2>summary</h2>Cryptography is the formal study of the notion of security in information systems. The course will offer an introduction to modern cryptography focusing on models and proofs of security for various basic cryptographic primitives and protocols. Cryptographic proofs are conditional on assumptions that fall in two categories: ""system assumptions"" such as the faithful execution of code, or the availability of private randomness and ""computational assumptions"". The latter are related to the computational complexity of various problems (including factoring large numbers and others). Students will learn to model security problems and prove them secure under precisely formulated system and computational assumptions.<h2>content</h2>
    
    The course is divided in two parts: Private Key and Public Key. Topics covered in the Private Key part are: classical ciphers (Caesar, Vigenere), one-time pad and perfect secrecy, computational secrecy, pseudorandom functions and permutations, CPA security, CCA security and proofs by reduction. The following topics are also briefly discussed: block ciphers, modes of operation, message integrity, hash functions and MACs. In the Public Key part we cover: hard computational problems such as factoring and discrete log, the Diffie-Hellman key exchange protocol, ElGamal and digital signatures. Other topics that may also be discussed (depending on time) are: zero-knowledge proofs, Schnorr Identification, commitment schemes and oblivious transfer protocols. A tentative outline of the material is given below.<br>
<br>
Part 1: Private Key<br>
<br>
- Classical ciphers: Shift cipher, Vigenere<br>
- Perfect secrecy<br>
- One-time pad (OTP)<br>
- Computational secrecy<br>
- Pseudorandom generators (PRG)<br>
- Pseudo-OTP<br>
- Security against chosen-plaintext attacks (CPA)<br>
- Pseudorandom functions / permutations (PRF / PRP)<br>
- CPA-secure encryption using PRF/PRP: block ciphers<br>
- Modes of operation: block ciphers, stream ciphers<br>
- Malleability<br>
- Security against chosen-ciphertext attacks (CCA)<br>
- Padding-oracle attacks: non-CCA secure schemes<br>
- Secrecy vs. integrity: message authentication codes (MAC)<br>
- Hash functions<br>
<br>
Part 2: Public Key<br>
<br>
- Digital Signatures<br>
- Trapdoor One-Way functions<br>
- Random oracles<br>
- Cyclic groups<br>
- The discrete logarithm/Diffie-Hellman assumptions<br>
- Key exchange and the Diffie-Hellman protocol<br>
- Public Key Encryption<br>
- Security against chosen-plaintext attacks<br>
- ElGamal Encryption<br>
- Zero-Knowledge proofs<br>
- The Schnorr identification scheme
    
    
",Undergraduate Course: Introduction to Modern Cryptography (INFR11131),"Cryptography is the formal study of the notion of security in information systems. The course will offer an introduction to modern cryptography focusing on models and proofs of security for various basic cryptographic primitives and protocols. Cryptographic proofs are conditional on assumptions that fall in two categories: ""system assumptions"" such as the faithful execution of code, or the availability of private randomness and ""computational assumptions"". The latter are related to the computational complexity of various problems (including factoring large numbers and others). Students will learn to model security problems and prove them secure under precisely formulated system and computational assumptions.","
    
    The course is divided in two parts: Private Key and Public Key. Topics covered in the Private Key part are: classical ciphers (Caesar, Vigenere), one-time pad and perfect secrecy, computational secrecy, pseudorandom functions and permutations, CPA security, CCA security and proofs by reduction. The following topics are also briefly discussed: block ciphers, modes of operation, message integrity, hash functions and MACs. In the Public Key part we cover: hard computational problems such as factoring and discrete log, the Diffie-Hellman key exchange protocol, ElGamal and digital signatures. Other topics that may also be discussed (depending on time) are: zero-knowledge proofs, Schnorr Identification, commitment schemes and oblivious transfer protocols. A tentative outline of the material is given below.<br>
<br>
Part 1: Private Key<br>
<br>
- Classical ciphers: Shift cipher, Vigenere<br>
- Perfect secrecy<br>
- One-time pad (OTP)<br>
- Computational secrecy<br>
- Pseudorandom generators (PRG)<br>
- Pseudo-OTP<br>
- Security against chosen-plaintext attacks (CPA)<br>
- Pseudorandom functions / permutations (PRF / PRP)<br>
- CPA-secure encryption using PRF/PRP: block ciphers<br>
- Modes of operation: block ciphers, stream ciphers<br>
- Malleability<br>
- Security against chosen-ciphertext attacks (CCA)<br>
- Padding-oracle attacks: non-CCA secure schemes<br>
- Secrecy vs. integrity: message authentication codes (MAC)<br>
- Hash functions<br>
<br>
Part 2: Public Key<br>
<br>
- Digital Signatures<br>
- Trapdoor One-Way functions<br>
- Random oracles<br>
- Cyclic groups<br>
- The discrete logarithm/Diffie-Hellman assumptions<br>
- Key exchange and the Diffie-Hellman protocol<br>
- Public Key Encryption<br>
- Security against chosen-plaintext attacks<br>
- ElGamal Encryption<br>
- Zero-Knowledge proofs<br>
- The Schnorr identification scheme
    
    
",
Edinburgh_Scotland,cxinfr11222,"<h2>Edinburgh_Scotland cxinfr11222</h2><h2>title</h2>Postgraduate Course: Introduction to Quantum Computing (INFR11099)<h2>summary</h2>The aim of this course is to give students a basic overview of the rapidly growing field of Quantum Computation (QC). The course will start with a brief introduction of the mathematical framework of QC. The two models of quantum circuit and measurement-based quantum computing will be introduced. We cover the most important quantum subroutines and their application to well-known quantum algorithms and compare their performance with respect to classical computing. We finish the course by surveying few more advanced topics, such as quantum error correction, algorithms for near-term architectures and secure delegated QC.<h2>content</h2>
    
    - Basic concepts from Linear Algebra necessary for understanding the axioms of Quantum Mechanics, <br>
- Axioms of Quantum Mechanics, describing quantum system, quantum operators, composition, entanglement and measurements <br>
- Quantum Computing via quantum circuit model: Description of qubit and universal set of gates. <br>
- The first quantum protocols: Quantum teleportation and super dense coding <br>
- Quantum subroutines such as Phase Kick-back, Quantum Fourier Transform or Phase-Estimation <br>
- Quantum Algorithms such as Grover's Search, Deutsch-Jozsa, Bernstein-Vazirani or Shor. <br>
- Quantum Computing via measurement-based model: Description of graph state and measurement calculus <br>
- Advanced Topics: quantum error correction, algorithm for near-term architectures, unconditionally secure quantum cloud computing
    
    
",Postgraduate Course: Introduction to Quantum Computing (INFR11099),"The aim of this course is to give students a basic overview of the rapidly growing field of Quantum Computation (QC). The course will start with a brief introduction of the mathematical framework of QC. The two models of quantum circuit and measurement-based quantum computing will be introduced. We cover the most important quantum subroutines and their application to well-known quantum algorithms and compare their performance with respect to classical computing. We finish the course by surveying few more advanced topics, such as quantum error correction, algorithms for near-term architectures and secure delegated QC.","
    
    - Basic concepts from Linear Algebra necessary for understanding the axioms of Quantum Mechanics, <br>
- Axioms of Quantum Mechanics, describing quantum system, quantum operators, composition, entanglement and measurements <br>
- Quantum Computing via quantum circuit model: Description of qubit and universal set of gates. <br>
- The first quantum protocols: Quantum teleportation and super dense coding <br>
- Quantum subroutines such as Phase Kick-back, Quantum Fourier Transform or Phase-Estimation <br>
- Quantum Algorithms such as Grover's Search, Deutsch-Jozsa, Bernstein-Vazirani or Shor. <br>
- Quantum Computing via measurement-based model: Description of graph state and measurement calculus <br>
- Advanced Topics: quantum error correction, algorithm for near-term architectures, unconditionally secure quantum cloud computing
    
    
",
Edinburgh_Scotland,cxinfr11223,"<h2>Edinburgh_Scotland cxinfr11223</h2><h2>title</h2>Undergraduate Course: Machine Learning Practical (INFR11132)<h2>summary</h2>This course is focused on the implementation and evaluation of machine learning systems, and is lab-based. Students who do this course will obtain experience in the design, implementation, training, and evaluation of machine learning systems.<br>
<br>
Semester 1 comprises lectures, labs, and individual coursework.<br>
<br>
Semester 2 is based around small group projects, and also includes tutorials and guest lectures.<br>
<br>
Note: this course is not a stand-alone introduction to machine learning. Please see 'Other Requirements' for details.<h2>content</h2>
    
    The course covers practical aspects of machine learning, and will focus on practical and experimental issues in deep learning and neural networks. Topics that are covered include:<br>
<br>
* Feed-forward network architectures<br>
* Optimisation and learning rules <br>
* Regularisation and normalisation<br>
* Neural networks for classification<br>
* Autoencoders<br>
* Convolutional Neural Networks<br>
* Recurrent Neural Networks<br>
<br>
MLP is coursework-based, with lectures to support the additional material required to carry out the practical. Students who complete this course will have experience in the design, implementation, training, and evaluation of machine learning systems.<br>
<br>
MLP is a two-semester course.  During Semester 1 the course will focus on developing a deep learning framework based on experiments using the task of classification of handwritten digits using the well-known MNIST dataset. The course uses a Python software framework, and a series of Jupyter notebooks. There is a series of ten weekly lectures in Semester 1 to provide the required theoretical support to the practical work.<br>
<br>
Semester 2 will be based on small group projects, with a focus on using deep neural networks within the context of a miniproject, using an open source toolkit such as TensorFlow or PyTorch. Lectures in Semester 2 will support the coursework, and also provide insights to the current state of the art in this very fast moving area.
    
    
",Undergraduate Course: Machine Learning Practical (INFR11132),"This course is focused on the implementation and evaluation of machine learning systems, and is lab-based. Students who do this course will obtain experience in the design, implementation, training, and evaluation of machine learning systems.<br>
<br>
Semester 1 comprises lectures, labs, and individual coursework.<br>
<br>
Semester 2 is based around small group projects, and also includes tutorials and guest lectures.<br>
<br>
Note: this course is not a stand-alone introduction to machine learning. Please see 'Other Requirements' for details.","
    
    The course covers practical aspects of machine learning, and will focus on practical and experimental issues in deep learning and neural networks. Topics that are covered include:<br>
<br>
* Feed-forward network architectures<br>
* Optimisation and learning rules <br>
* Regularisation and normalisation<br>
* Neural networks for classification<br>
* Autoencoders<br>
* Convolutional Neural Networks<br>
* Recurrent Neural Networks<br>
<br>
MLP is coursework-based, with lectures to support the additional material required to carry out the practical. Students who complete this course will have experience in the design, implementation, training, and evaluation of machine learning systems.<br>
<br>
MLP is a two-semester course.  During Semester 1 the course will focus on developing a deep learning framework based on experiments using the task of classification of handwritten digits using the well-known MNIST dataset. The course uses a Python software framework, and a series of Jupyter notebooks. There is a series of ten weekly lectures in Semester 1 to provide the required theoretical support to the practical work.<br>
<br>
Semester 2 will be based on small group projects, with a focus on using deep neural networks within the context of a miniproject, using an open source toolkit such as TensorFlow or PyTorch. Lectures in Semester 2 will support the coursework, and also provide insights to the current state of the art in this very fast moving area.
    
    
",
Edinburgh_Scotland,cxinfr11224,"<h2>Edinburgh_Scotland cxinfr11224</h2><h2>title</h2>Undergraduate Course: Machine Learning Theory (INFR11202)<h2>summary</h2>This course is an introduction to the theory of learning algorithms and their properties that are relevant to the widespread use of machine learning. The course starts with the standard mathematical concepts in theoretical ML. It then covers classical analytic results about accuracy, confidence, sample complexity and model complexity. Standard learning/optimisation algorithms are described in this context. In modern research areas such as trustworthy machine learning, several properties including privacy, fairness and interpretablity are considered vital for widespread reliable use of machine learning. These topics are discussed in a mathematical perspective.<br>
<br>
The course aims to provide a firm foundation in reading and understanding mathematical ideas so that students are equipped to follow the latest developments and research, and to interpret relevant properties and tradeoffs. Throughout, the course will take the approach of precise mathematical definition and analysis, coupled with easy examples and intuition to aid understanding.<h2>content</h2>
    
    The following is an indicative list of topics in the course:<br>
<br>
	1. Notations, terminology and formal models.<br>
	2. Learning theory: Empirical risk minimisation and sampling complexity. Probably approximately correct (PAC) guarantees.<br>
	3. Complexity of learning models (e.g. VC dimension) and bias-complexity tradeoff.<br>
	4. Optimization algorithms. Regression, SVM, Stochastic gradient descent and its variants.<br>
	5. Regularization, convexity, stability, Lipschitzness and other properties<br>
	6. Statistical Privacy<br>
	7. Mechanisms for privacy preserving machine learning. Differentially private stochastic gradient descent.<br>
	8. Interpretable machine learning. (E.g. Feature importance)<br>
	9. Fairness.<br>
<br>
The topics will be discussed with reference to standard machine learning techniques, and examples of realistic problems. Our approach will include precise definitions and analysis as well as examples and intuitive explanations. The relevance and domain of applicability of the various concepts will be discussed.<br>
<br>
Tutorials and problem sets will be available to help understanding and exploration of the subject.
    
    
",Undergraduate Course: Machine Learning Theory (INFR11202),"This course is an introduction to the theory of learning algorithms and their properties that are relevant to the widespread use of machine learning. The course starts with the standard mathematical concepts in theoretical ML. It then covers classical analytic results about accuracy, confidence, sample complexity and model complexity. Standard learning/optimisation algorithms are described in this context. In modern research areas such as trustworthy machine learning, several properties including privacy, fairness and interpretablity are considered vital for widespread reliable use of machine learning. These topics are discussed in a mathematical perspective.<br>
<br>
The course aims to provide a firm foundation in reading and understanding mathematical ideas so that students are equipped to follow the latest developments and research, and to interpret relevant properties and tradeoffs. Throughout, the course will take the approach of precise mathematical definition and analysis, coupled with easy examples and intuition to aid understanding.","
    
    The following is an indicative list of topics in the course:<br>
<br>
	1. Notations, terminology and formal models.<br>
	2. Learning theory: Empirical risk minimisation and sampling complexity. Probably approximately correct (PAC) guarantees.<br>
	3. Complexity of learning models (e.g. VC dimension) and bias-complexity tradeoff.<br>
	4. Optimization algorithms. Regression, SVM, Stochastic gradient descent and its variants.<br>
	5. Regularization, convexity, stability, Lipschitzness and other properties<br>
	6. Statistical Privacy<br>
	7. Mechanisms for privacy preserving machine learning. Differentially private stochastic gradient descent.<br>
	8. Interpretable machine learning. (E.g. Feature importance)<br>
	9. Fairness.<br>
<br>
The topics will be discussed with reference to standard machine learning techniques, and examples of realistic problems. Our approach will include precise definitions and analysis as well as examples and intuitive explanations. The relevance and domain of applicability of the various concepts will be discussed.<br>
<br>
Tutorials and problem sets will be available to help understanding and exploration of the subject.
    
    
",
Edinburgh_Scotland,cxinfr11226,"<h2>Edinburgh_Scotland cxinfr11226</h2><h2>title</h2>Postgraduate Course: Parallel Programming Languages and Systems (Level 11) (INFR11023)<h2>summary</h2>The module familiarises students with the issues involved in designing, implementing and applying parallel programming systems. Initial motivation will be provided by consideration of a number of typical high performance applications and parallel architectures. This will highlight the role of parallel software systems as a means of bridging the gap between these and allow abstraction of the issues which must be addressed by any such system (partitioning, communication, agglomeration, scheduling). It will explore the ways in which these challenges have been addressed by a range of systems, including both de facto standards and more adventurous research projects.<h2>content</h2>
    
    * Introduction. Conceptual and architectural models of parallelism. Parallel algorithmic paradigms and simple parallel algorithms.Iterative, recursive pipeline and bag-of-task parallelism.<br>
* Generic issues in shared variable programming. Mutual exclusion, condition synchronization. Locks, barriers semaphores and monitors, use and implementation.<br>
* Realisation in Pthreads and Java.<br>
* Issues in message passing programming. Channels and synchronization models.<br>
* Realisation in MPI: communicators, simple and collective operations<br>
* Selected case studies highlighting alternative approaches, for example,<br>
o Associative models. Linda, tuple space and related primitives.<br>
o Threading Building Blocks.<br>
<br>
Relevant QAA Computing Curriculum Sections:  Concurrency and Parallelism
    
    
",Postgraduate Course: Parallel Programming Languages and Systems (Level 11) (INFR11023),"The module familiarises students with the issues involved in designing, implementing and applying parallel programming systems. Initial motivation will be provided by consideration of a number of typical high performance applications and parallel architectures. This will highlight the role of parallel software systems as a means of bridging the gap between these and allow abstraction of the issues which must be addressed by any such system (partitioning, communication, agglomeration, scheduling). It will explore the ways in which these challenges have been addressed by a range of systems, including both de facto standards and more adventurous research projects.","
    
    * Introduction. Conceptual and architectural models of parallelism. Parallel algorithmic paradigms and simple parallel algorithms.Iterative, recursive pipeline and bag-of-task parallelism.<br>
* Generic issues in shared variable programming. Mutual exclusion, condition synchronization. Locks, barriers semaphores and monitors, use and implementation.<br>
* Realisation in Pthreads and Java.<br>
* Issues in message passing programming. Channels and synchronization models.<br>
* Realisation in MPI: communicators, simple and collective operations<br>
* Selected case studies highlighting alternative approaches, for example,<br>
o Associative models. Linda, tuple space and related primitives.<br>
o Threading Building Blocks.<br>
<br>
Relevant QAA Computing Curriculum Sections:  Concurrency and Parallelism
    
    
",
Edinburgh_Scotland,cxinfr11227,"<h2>Edinburgh_Scotland cxinfr11227</h2><h2>title</h2>Undergraduate Course: Quantum Cyber Security (INFR11187)<h2>summary</h2>In this course we cover a broad range of effects that the development of quantum technologies bring on the security and privacy of communication and computation. In particular we consider (i) post-quantum security: security of classical protocols when the adversaries have access to quantum computers or other quantum technologies and (ii) quantumly-enhanced security: when quantum technologies are used by honest parties to achieve better (in terms of security or efficiency) performance. We give an overview of the field, while in each case we focus on selected examples to illustrate how to handle security in a world with quantum technologies.<h2>content</h2>
    
    This course deals with the various effects that developing quantum technologies will have on cyber security. Quantum computing and quantum information theory offers new possibilities (in terms of efficiency and security). Here we examine both the extra attacks that adversaries equipped with quantum technologies can perform and the extra possibilities opened when honest parties use quantum technologies.<br>
<br>
The students first will be introduced to quantum information concepts (qubits, mixed states, operations, distance measures) as well as quantum algorithms (factoring, discrete logarithms, search) and their limitations. This will lead to LO1, namely learn the mathematical machinery and the power (and limitations) of quantum information and computation, in view of using these for cyber security.<br>
<br>
The second part consists of learning and understanding quantum cryptography and specifically ""quantum-key-distribution"" protocols, including their security proofs and the how different implementations affect the performance (see LO4). The limitations (practical and theoretical) of quantum cryptography will also be analysed here (including impossibility results).<br>
<br>
The third part deals with generalising classical notions such as encryption, authentication and secure delegated computation to quantum information. Introducing students in these concepts prepares them for the next generation of quantum cyber security that is bound to become relevant when large(r) quantum computers are constructed (LO5).<br>
<br>
Finally, the last part of the course focuses on classical protocols and their security under quantum attacks. A cryptosystem based on the learning-with-errors problems will be introduced as a (key) example of this possibility (LO2). Furthermore, general quantum attacks (superposition attacks, the quantum random oracle model, etc) will be introduced and students will learn to analyse general quantum attacks on a given classical protocol (LO3).
    
    
",Undergraduate Course: Quantum Cyber Security (INFR11187),"In this course we cover a broad range of effects that the development of quantum technologies bring on the security and privacy of communication and computation. In particular we consider (i) post-quantum security: security of classical protocols when the adversaries have access to quantum computers or other quantum technologies and (ii) quantumly-enhanced security: when quantum technologies are used by honest parties to achieve better (in terms of security or efficiency) performance. We give an overview of the field, while in each case we focus on selected examples to illustrate how to handle security in a world with quantum technologies.","
    
    This course deals with the various effects that developing quantum technologies will have on cyber security. Quantum computing and quantum information theory offers new possibilities (in terms of efficiency and security). Here we examine both the extra attacks that adversaries equipped with quantum technologies can perform and the extra possibilities opened when honest parties use quantum technologies.<br>
<br>
The students first will be introduced to quantum information concepts (qubits, mixed states, operations, distance measures) as well as quantum algorithms (factoring, discrete logarithms, search) and their limitations. This will lead to LO1, namely learn the mathematical machinery and the power (and limitations) of quantum information and computation, in view of using these for cyber security.<br>
<br>
The second part consists of learning and understanding quantum cryptography and specifically ""quantum-key-distribution"" protocols, including their security proofs and the how different implementations affect the performance (see LO4). The limitations (practical and theoretical) of quantum cryptography will also be analysed here (including impossibility results).<br>
<br>
The third part deals with generalising classical notions such as encryption, authentication and secure delegated computation to quantum information. Introducing students in these concepts prepares them for the next generation of quantum cyber security that is bound to become relevant when large(r) quantum computers are constructed (LO5).<br>
<br>
Finally, the last part of the course focuses on classical protocols and their security under quantum attacks. A cryptosystem based on the learning-with-errors problems will be introduced as a (key) example of this possibility (LO2). Furthermore, general quantum attacks (superposition attacks, the quantum random oracle model, etc) will be introduced and students will learn to analyse general quantum attacks on a given classical protocol (LO3).
    
    
",
Edinburgh_Scotland,cxinfr11228,"<h2>Edinburgh_Scotland cxinfr11228</h2><h2>title</h2>Undergraduate Course: Security Engineering (INFR11208)<h2>summary</h2>This course aims to give students a thorough understanding of how to engineer security in modern systems. We discuss threat actors from nation states through cybercrime gangs to abuse by family members. We dive into detailed case studies of applications such as payment networks and vehicle systems. We analyse the protection mechanisms of platforms they rely on, such as smartcards, mobile phones and cloud systems. We work through multiple perspectives: classical systems engineering, the psychology of users good and bad, and the incentives facing different actors in the system. This enables students to take a holistic view of security as an emergent property of complex systems, and of related properties such as safety, and to understand how to manage them as systems and their environments evolve.<h2>content</h2>
    
    As ever more devices participate in online systems that become ever more complex, it is ever more important,and more difficult, to manage emergent properties such as security, safety and sustainability. Security engineering is not just about individual mechanisms such as cryptography and access controls but how they work together at scale in real systems. This course will illustrate how to analyse threats and hazards systematically, evolve security policies, integrate them with safety policies and accounting standards as need be, test and certify the resulting systems, and manage their evolution as vulnerabilities are discovered or as their requirements change over time.<br>
<br>
Over the course of 15 lectures we will study how real systems are attacked by a variety of opponents and how their defences evolve to cope. We will look in detail at important applications such as payments, home automation and vehicles. We will look at the psychology of secure design: how we can minimise the risk of attacks involving deception. We will analyse the economics of security: when service providers have adequate incentives to prevent fraud, and where market failure or poor regulation get in the way. <br>
<br>
We will take a deep dive into the protection mechanisms of the underlying platforms, from smartcards through mobile phones to containers, and at whole ecosystems such as phone apps, cloud services and network security. By the end of the course, students should be able to analyse a security problem across the entire systems stack, from the threats and protection goals down through the application and the platforms and if need be to the hardware. They should also appreciate how security interacts with related emergent properties such as safety and sustainability.
    
    
",Undergraduate Course: Security Engineering (INFR11208),"This course aims to give students a thorough understanding of how to engineer security in modern systems. We discuss threat actors from nation states through cybercrime gangs to abuse by family members. We dive into detailed case studies of applications such as payment networks and vehicle systems. We analyse the protection mechanisms of platforms they rely on, such as smartcards, mobile phones and cloud systems. We work through multiple perspectives: classical systems engineering, the psychology of users good and bad, and the incentives facing different actors in the system. This enables students to take a holistic view of security as an emergent property of complex systems, and of related properties such as safety, and to understand how to manage them as systems and their environments evolve.","
    
    As ever more devices participate in online systems that become ever more complex, it is ever more important,and more difficult, to manage emergent properties such as security, safety and sustainability. Security engineering is not just about individual mechanisms such as cryptography and access controls but how they work together at scale in real systems. This course will illustrate how to analyse threats and hazards systematically, evolve security policies, integrate them with safety policies and accounting standards as need be, test and certify the resulting systems, and manage their evolution as vulnerabilities are discovered or as their requirements change over time.<br>
<br>
Over the course of 15 lectures we will study how real systems are attacked by a variety of opponents and how their defences evolve to cope. We will look in detail at important applications such as payments, home automation and vehicles. We will look at the psychology of secure design: how we can minimise the risk of attacks involving deception. We will analyse the economics of security: when service providers have adequate incentives to prevent fraud, and where market failure or poor regulation get in the way. <br>
<br>
