elective,institution,AR
CS4504,VirginiaTech_USA,1
5.578,UOC_Spain,1
5.592,UOC_Spain,1
COMPSCI4007,Glasgow_Scotland,1
cxinfr10076,Edinburgh_UK,1
CS4134,VirginiaTech_USA,1
CS4524,Kennesaw_USA,1
cxinfr11088,Edinburgh_UK,1
CS4254,VirginiaTech_USA,1
cxinfr11099,Edinburgh_UK,1
COMP4117,Durham_England,1
IT4403,Kennesaw_USA,0
Inf-DigSig,CAU_Germany,0
cxinfr11150,Edinburgh_UK,1
cxinfr11187,Edinburgh_UK,1
1TD062,Uppsala_Sweden,1
5.586,UOC_Spain,0
COMP3617,Durham_England,0
COMP3637,Durham_England,0
COMPSCI4031,Glasgow_Scotland,0
COMPSCI4082,Glasgow_Scotland,1
CS3754,VirginiaTech_USA,0
CS4522,Kennesaw_USA,1
CS4624,VirginiaTech_USA,0
CS4720,Kennesaw_USA,1
CSC367H5,UofT_Canada,0
CSC376H5,UofT_Canada,1
CSC488H5,UofT_Canada,0
CYBR4853,Kennesaw_USA,0
CYBR4883,Kennesaw_USA,0
SWE3683,Kennesaw_USA,0
cxinfr10065,Edinburgh_UK,1
cxinfr10085,Edinburgh_UK,1
cxinfr11023,Edinburgh_UK,1
cxinfr11213,Edinburgh_UK,1